--- LS Page 3 Word Coords ---
  2P: x0=70.42, x1=78.21, top=241.47, bottom=248.78
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=241.47, bottom=248.78
  10KA: x0=222.83, x1=240.67, top=241.47, bottom=248.78
  360,000: x0=252.93, x1=276.97, top=241.47, bottom=248.78
  Cầu: x0=337.8, x1=350.86, top=241.23, bottom=248.54
  dao: x0=352.69, x1=364.02, top=241.23, bottom=248.54
  điện: x0=365.77, x1=379.17, top=241.23, bottom=248.54
  loại: x0=381.0, x1=392.37, top=241.23, bottom=248.54
  tép: x0=394.15, x1=403.89, top=241.23, bottom=248.54
  chống: x0=405.52, x1=424.15, top=241.23, bottom=248.54
  rò: x0=426.05, x1=432.95, top=241.23, bottom=248.54
  điện: x0=434.77, x1=448.22, top=241.23, bottom=248.54
  RCCB: x0=450.05, x1=470.74, top=241.23, bottom=248.54
  (gắn: x0=472.67, x1=486.54, top=241.23, bottom=248.54
  thanh: x0=488.37, x1=506.67, top=241.23, bottom=248.54
  ray): x0=508.5, x1=521.63, top=241.23, bottom=248.54
  LA63H: x0=46.68, x1=68.76, top=256.83, bottom=264.14
  2P: x0=70.42, x1=78.21, top=256.83, bottom=264.14
  40-50-63A: x0=160.29, x1=192.45, top=256.83, bottom=264.14
  10KA: x0=222.83, x1=240.75, top=256.83, bottom=264.14
  406,000: x0=252.93, x1=277.04, top=256.83, bottom=264.14
  Tên: x0=299.04, x1=311.26, top=257.07, bottom=264.38
  hàng: x0=313.09, x1=328.55, top=257.07, bottom=264.38
  In: x0=427.92, x1=434.82, top=257.07, bottom=264.38
  (A): x0=436.65, x1=446.79, top=257.07, bottom=264.38
  Inc(KA): x0=491.56, x1=517.61, top=257.07, bottom=264.38
  Giá: x0=528.62, x1=540.07, top=257.07, bottom=264.38
  bán: x0=541.97, x1=553.71, top=257.07, bottom=264.38
  LA63H: x0=46.68, x1=68.76, top=272.19, bottom=279.5
  3P: x0=70.42, x1=78.21, top=272.19, bottom=279.5
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=272.19, bottom=279.5
  10KA: x0=222.83, x1=240.67, top=272.19, bottom=279.5
  576,000: x0=252.93, x1=276.97, top=272.19, bottom=279.5
  LC63N: x0=299.03, x1=320.89, top=272.19, bottom=279.5
  1P+N: x0=322.65, x1=339.91, top=272.19, bottom=279.5
  16-25-32-40-50A: x0=411.56, x1=463.16, top=272.19, bottom=279.5
  6KA: x0=497.63, x1=511.75, top=272.19, bottom=279.5
  880,000: x0=527.95, x1=551.99, top=272.19, bottom=279.5
  LA63H: x0=46.68, x1=68.76, top=287.55, bottom=294.86
  3P: x0=70.42, x1=78.21, top=287.55, bottom=294.86
  40-50-63A: x0=160.29, x1=192.45, top=287.55, bottom=294.86
  10KA: x0=222.83, x1=240.75, top=287.55, bottom=294.86
  696,000: x0=252.93, x1=277.04, top=287.55, bottom=294.86
  LC63N: x0=299.03, x1=320.87, top=287.55, bottom=294.86
  1P+N: x0=322.63, x1=339.96, top=287.55, bottom=294.86
  63A: x0=431.05, x1=443.7, top=287.55, bottom=294.86
  6KA: x0=497.61, x1=511.8, top=287.55, bottom=294.86
  910,000: x0=528.0, x1=552.04, top=287.55, bottom=294.86
  LA63H: x0=46.68, x1=68.76, top=302.91, bottom=310.22
  4P: x0=70.42, x1=78.21, top=302.91, bottom=310.22
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=302.91, bottom=310.22
  10KA: x0=222.83, x1=240.67, top=302.91, bottom=310.22
  850,000: x0=252.93, x1=276.97, top=302.91, bottom=310.22
  LC63N: x0=299.03, x1=320.89, top=302.91, bottom=310.22
  3P+N: x0=322.65, x1=339.91, top=302.91, bottom=310.22
  16-25-32-40-50A: x0=411.56, x1=463.16, top=302.91, bottom=310.22
  6KA: x0=497.63, x1=511.75, top=302.91, bottom=310.22
  1,260,000: x0=525.25, x1=554.76, top=302.91, bottom=310.22
  LA63H: x0=46.68, x1=68.76, top=318.27, bottom=325.58
  4P: x0=70.42, x1=78.21, top=318.27, bottom=325.58
  40-50-63A: x0=160.29, x1=192.45, top=318.27, bottom=325.58
  10KA: x0=222.83, x1=240.75, top=318.27, bottom=325.58
  990,000: x0=252.93, x1=277.04, top=318.27, bottom=325.58
  LC63N: x0=299.03, x1=320.87, top=318.27, bottom=325.58
  3P+N: x0=322.63, x1=339.96, top=318.27, bottom=325.58
  63A: x0=431.05, x1=443.7, top=318.27, bottom=325.58
  6KA: x0=497.61, x1=511.8, top=318.27, bottom=325.58
  1,380,000: x0=525.23, x1=554.82, top=318.27, bottom=325.58
  LA63L: x0=46.68, x1=67.94, top=333.15, bottom=340.46
  1P: x0=69.48, x1=77.26, top=333.15, bottom=340.46
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=333.15, bottom=340.46
  25KA: x0=222.83, x1=240.67, top=333.15, bottom=340.46
  210,000: x0=252.93, x1=276.97, top=333.15, bottom=340.46
  LC100H: x0=299.03, x1=324.55, top=333.15, bottom=340.46
  1P+N: x0=326.29, x1=343.54, top=333.15, bottom=340.46
  16-25-32-40A: x0=416.52, x1=458.32, top=333.15, bottom=340.46
  10KA: x0=495.79, x1=513.63, top=333.15, bottom=340.46
  1,090,000: x0=525.16, x1=554.75, top=333.15, bottom=340.46
  LA63L: x0=46.68, x1=67.94, top=347.55, bottom=354.86
  1P: x0=69.48, x1=77.26, top=347.55, bottom=354.86
  40-50-63A: x0=160.29, x1=192.45, top=347.55, bottom=354.86
  15KA: x0=222.83, x1=240.75, top=347.55, bottom=354.86
  242,000: x0=252.93, x1=277.04, top=347.55, bottom=354.86
  LC100H: x0=299.03, x1=324.62, top=347.55, bottom=354.86
  1P+N: x0=326.29, x1=343.54, top=347.55, bottom=354.86
  50-63A: x0=426.23, x1=448.68, top=347.55, bottom=354.86
  10KA: x0=495.86, x1=513.7, top=347.55, bottom=354.86
  1,180,000: x0=525.23, x1=554.82, top=347.55, bottom=354.86
  LA63L: x0=46.68, x1=67.94, top=361.95, bottom=369.26
  2P: x0=69.48, x1=77.26, top=361.95, bottom=369.26
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=361.95, bottom=369.26
  25KA: x0=222.83, x1=240.67, top=361.95, bottom=369.26
  506,000: x0=252.93, x1=276.97, top=361.95, bottom=369.26
  LC100H: x0=299.03, x1=324.55, top=361.95, bottom=369.26
  1P+N: x0=326.29, x1=343.54, top=361.95, bottom=369.26
  80-100A: x0=424.26, x1=450.43, top=361.95, bottom=369.26
  10KA: x0=495.79, x1=513.7, top=361.95, bottom=369.26
  1,380,000: x0=525.23, x1=554.75, top=361.95, bottom=369.26
  LA63L: x0=46.68, x1=67.94, top=376.35, bottom=383.66
  2P: x0=69.48, x1=77.26, top=376.35, bottom=383.66
  40-50-63A: x0=160.29, x1=192.45, top=376.35, bottom=383.66
  15KA: x0=222.83, x1=240.75, top=376.35, bottom=383.66
  550,000: x0=252.93, x1=277.04, top=376.35, bottom=383.66
  LC100H: x0=299.03, x1=324.62, top=376.35, bottom=383.66
  3P+N: x0=326.29, x1=343.54, top=376.35, bottom=383.66
  25-32-40A: x0=421.34, x1=453.43, top=376.35, bottom=383.66
  10KA: x0=495.79, x1=513.7, top=376.35, bottom=383.66
  1,550,000: x0=525.23, x1=554.82, top=376.35, bottom=383.66
  LA63L: x0=46.68, x1=67.94, top=390.75, bottom=398.06
  3P: x0=69.48, x1=77.26, top=390.75, bottom=398.06
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=390.75, bottom=398.06
  25KA: x0=222.83, x1=240.67, top=390.75, bottom=398.06
  730,000: x0=252.93, x1=276.97, top=390.75, bottom=398.06
  LC100H: x0=299.03, x1=324.55, top=390.75, bottom=398.06
  3P+N: x0=326.29, x1=343.54, top=390.75, bottom=398.06
  50-63A: x0=426.23, x1=448.6, top=390.75, bottom=398.06
  10KA: x0=495.79, x1=513.63, top=390.75, bottom=398.06
  1,760,000: x0=525.16, x1=554.75, top=390.75, bottom=398.06
  LA63L: x0=46.68, x1=67.94, top=405.15, bottom=412.46
  3P: x0=69.48, x1=77.26, top=405.15, bottom=412.46
  40-50-63A: x0=160.29, x1=192.45, top=405.15, bottom=412.46
  15KA: x0=222.83, x1=240.75, top=405.15, bottom=412.46
  825,000: x0=252.93, x1=277.04, top=405.15, bottom=412.46
  LC100H: x0=299.03, x1=324.62, top=405.15, bottom=412.46
  3P+N: x0=326.29, x1=343.54, top=405.15, bottom=412.46
  80-100A: x0=424.33, x1=450.43, top=405.15, bottom=412.46
  10KA: x0=495.79, x1=513.7, top=405.15, bottom=412.46
  2,090,000: x0=525.23, x1=554.82, top=405.15, bottom=412.46
  LA63L: x0=46.68, x1=67.94, top=419.55, bottom=426.86
  4P: x0=69.48, x1=77.26, top=419.55, bottom=426.86
  6-10-16-20-25-32A: x0=147.58, x1=205.16, top=419.55, bottom=426.86
  25KA: x0=222.83, x1=240.67, top=419.55, bottom=426.86
  1,160,000: x0=250.16, x1=279.75, top=419.55, bottom=426.86
  LA63L: x0=46.68, x1=67.94, top=433.95, bottom=441.26
  4P: x0=69.48, x1=77.26, top=433.95, bottom=441.26
  40-50-63A: x0=160.29, x1=192.45, top=433.95, bottom=441.26
  15KA: x0=222.83, x1=240.75, top=433.95, bottom=441.26
  1,270,000: x0=250.23, x1=279.75, top=433.95, bottom=441.26
  LA125H: x0=46.68, x1=72.49, top=449.43, bottom=456.74
  1P: x0=74.15, x1=81.94, top=449.43, bottom=456.74
  80-100A: x0=163.29, x1=189.46, top=449.43, bottom=456.74
  10KA: x0=222.83, x1=240.75, top=449.43, bottom=456.74
  320,000: x0=252.93, x1=277.04, top=449.43, bottom=456.74
  Thiết: x0=361.68, x1=378.41, top=449.19, bottom=456.5
  bị: x0=380.14, x1=386.11, top=449.19, bottom=456.5
  chống: x0=387.94, x1=406.53, top=449.19, bottom=456.5
  sét: x0=408.43, x1=416.99, top=449.19, bottom=456.5
  (Surge: x0=418.75, x1=439.51, top=449.19, bottom=456.5
  Protective: x0=441.27, x1=472.79, top=449.19, bottom=456.5
  Device): x0=474.6, x1=497.69, top=449.19, bottom=456.5
  LA125H: x0=46.68, x1=72.49, top=466.11, bottom=473.42
  1P: x0=74.15, x1=81.94, top=466.11, bottom=473.42
  125A: x0=168.11, x1=184.56, top=466.11, bottom=473.42
  10KA: x0=222.83, x1=240.75, top=466.11, bottom=473.42
  596,000: x0=252.93, x1=277.04, top=466.11, bottom=473.42
  Tên: x0=299.04, x1=311.26, top=466.35, bottom=473.66
  hàng: x0=313.09, x1=328.55, top=466.35, bottom=473.66
  Uc: x0=414.18, x1=422.75, top=466.35, bottom=473.66
  [V]: x0=424.51, x1=434.49, top=466.35, bottom=473.66
  L/N-PE: x0=436.24, x1=460.35, top=466.35, bottom=473.66
  Icu(KA): x0=491.57, x1=517.65, top=466.35, bottom=473.66
  Giá: x0=528.66, x1=540.03, top=466.35, bottom=473.66
  bán: x0=541.92, x1=553.66, top=466.35, bottom=473.66
  LA125H: x0=46.68, x1=72.49, top=482.79, bottom=490.1
  2P: x0=74.15, x1=81.94, top=482.79, bottom=490.1
  80-100A: x0=163.29, x1=189.46, top=482.79, bottom=490.1
  10KA: x0=222.83, x1=240.75, top=482.79, bottom=490.1
  686,000: x0=252.93, x1=277.04, top=482.79, bottom=490.1
  BK05S-T3: x0=299.03, x1=330.87, top=482.79, bottom=490.1
  2P: x0=332.77, x1=340.48, top=482.79, bottom=490.1
  385V: x0=429.06, x1=445.51, top=482.79, bottom=490.1
  10KV: x0=495.69, x1=513.53, top=482.79, bottom=490.1
  1,750,000: x0=525.21, x1=554.8, top=482.79, bottom=490.1
  LA125H: x0=46.68, x1=72.49, top=499.47, bottom=506.78
  2P: x0=74.15, x1=81.94, top=499.47, bottom=506.78
  125A: x0=168.11, x1=184.56, top=499.47, bottom=506.78
  10KA: x0=222.83, x1=240.75, top=499.47, bottom=506.78
  770,000: x0=252.93, x1=277.04, top=499.47, bottom=506.78
  BK05S-T3: x0=299.03, x1=330.87, top=499.47, bottom=506.78
  4P: x0=332.77, x1=340.48, top=499.47, bottom=506.78
  385V: x0=429.06, x1=445.51, top=499.47, bottom=506.78
  10KV: x0=495.69, x1=513.53, top=499.47, bottom=506.78
  3,440,000: x0=525.21, x1=554.8, top=499.47, bottom=506.78
  LA125H: x0=46.68, x1=72.49, top=516.15, bottom=523.46
  3P: x0=74.15, x1=81.94, top=516.15, bottom=523.46
  80-100A: x0=163.29, x1=189.46, top=516.15, bottom=523.46
  10KA: x0=222.83, x1=240.75, top=516.15, bottom=523.46
  1,090,000: x0=250.23, x1=279.75, top=516.15, bottom=523.46
  BK10S-T2: x0=299.03, x1=330.87, top=516.15, bottom=523.46
  2P: x0=332.77, x1=340.48, top=516.15, bottom=523.46
  385V: x0=429.06, x1=445.51, top=516.15, bottom=523.46
  20KA: x0=495.77, x1=513.68, top=516.15, bottom=523.46
  1,920,000: x0=525.21, x1=554.8, top=516.15, bottom=523.46
  LA125H: x0=46.68, x1=72.49, top=532.83, bottom=540.14
  3P: x0=74.15, x1=81.94, top=532.83, bottom=540.14
  125A: x0=168.11, x1=184.56, top=532.83, bottom=540.14
  10KA: x0=222.83, x1=240.75, top=532.83, bottom=540.14
  1,200,000: x0=250.23, x1=279.75, top=532.83, bottom=540.14
  BK10S-T2: x0=299.03, x1=330.87, top=532.83, bottom=540.14
  3P: x0=332.77, x1=340.48, top=532.83, bottom=540.14
  385V: x0=429.06, x1=445.51, top=532.83, bottom=540.14
  20KA: x0=495.77, x1=513.68, top=532.83, bottom=540.14
  2,200,000: x0=525.21, x1=554.8, top=532.83, bottom=540.14
  LA125H: x0=46.68, x1=72.49, top=549.51, bottom=556.82
  4P: x0=74.15, x1=81.94, top=549.51, bottom=556.82
  80-100A: x0=163.29, x1=189.46, top=549.51, bottom=556.82
  10KA: x0=222.83, x1=240.75, top=549.51, bottom=556.82
  1,410,000: x0=250.23, x1=279.75, top=549.51, bottom=556.82
  BK10S-T2: x0=299.03, x1=330.87, top=549.51, bottom=556.82
  4P: x0=332.77, x1=340.48, top=549.51, bottom=556.82
  385V: x0=429.06, x1=445.51, top=549.51, bottom=556.82
  20KA: x0=495.77, x1=513.68, top=549.51, bottom=556.82
  3,750,000: x0=525.21, x1=554.8, top=549.51, bottom=556.82
  LA125H: x0=46.68, x1=72.49, top=566.19, bottom=573.5
  4P: x0=74.15, x1=81.94, top=566.19, bottom=573.5
  125A: x0=168.11, x1=184.56, top=566.19, bottom=573.5
  10KA: x0=222.83, x1=240.75, top=566.19, bottom=573.5
  1,850,000: x0=250.23, x1=279.75, top=566.19, bottom=573.5
  BK20S-T2: x0=299.03, x1=330.87, top=566.19, bottom=573.5
  2P: x0=332.77, x1=340.48, top=566.19, bottom=573.5
  385V: x0=429.06, x1=445.51, top=566.19, bottom=573.5
  40KA: x0=495.77, x1=513.68, top=566.19, bottom=573.5
  2,160,000: x0=525.21, x1=554.8, top=566.19, bottom=573.5
  BK20S-T2: x0=299.04, x1=330.87, top=582.87, bottom=590.18
  3P: x0=332.77, x1=340.49, top=582.87, bottom=590.18
  385V: x0=429.07, x1=445.52, top=582.87, bottom=590.18
  40KA: x0=495.85, x1=513.69, top=582.87, bottom=590.18
  2,520,000: x0=525.22, x1=554.81, top=582.87, bottom=590.18
  PHỤ: x0=138.12, x1=153.61, top=599.31, bottom=606.62
  KIỆN: x0=155.36, x1=174.22, top=599.31, bottom=606.62
  MCB: x0=175.98, x1=193.26, top=599.31, bottom=606.62
  BK20S-T2: x0=299.04, x1=330.87, top=599.55, bottom=606.86
  4P: x0=332.77, x1=340.49, top=599.55, bottom=606.86
  385V: x0=429.07, x1=445.52, top=599.55, bottom=606.86
  40KA: x0=495.85, x1=513.69, top=599.55, bottom=606.86
  5,200,000: x0=525.22, x1=554.81, top=599.55, bottom=606.86
  Tên: x0=131.28, x1=143.5, top=615.99, bottom=623.3
  hàng: x0=145.33, x1=160.79, top=615.99, bottom=623.3
  Giá: x0=253.68, x1=265.13, top=616.47, bottom=623.78
  bán: x0=266.96, x1=278.77, top=616.47, bottom=623.78
  BK30S-T2: x0=299.04, x1=330.87, top=616.23, bottom=623.54
  2P: x0=332.77, x1=340.49, top=616.23, bottom=623.54
  385V: x0=429.07, x1=445.52, top=616.23, bottom=623.54
  60KA: x0=495.85, x1=513.69, top=616.23, bottom=623.54
  2,520,000: x0=525.22, x1=554.81, top=616.23, bottom=623.54
  Auxiliary: x0=46.68, x1=74.59, top=632.91, bottom=640.22
  switch:: x0=76.05, x1=97.28, top=632.91, bottom=640.22
  AX: x0=98.84, x1=109.3, top=632.91, bottom=640.22
  for: x0=111.06, x1=119.5, top=632.91, bottom=640.22
  LA/LC: x0=121.26, x1=141.74, top=632.91, bottom=640.22
  300,000: x0=252.9, x1=276.93, top=632.91, bottom=640.22
  BK30S-T2: x0=299.0, x1=330.83, top=632.91, bottom=640.22
  3P: x0=332.66, x1=340.45, top=632.91, bottom=640.22
  385V: x0=429.02, x1=445.48, top=632.91, bottom=640.22
  60KA: x0=495.73, x1=513.64, top=632.91, bottom=640.22
  3,100,000: x0=525.17, x1=554.69, top=632.91, bottom=640.22
  Alarm: x0=46.68, x1=65.15, top=649.59, bottom=656.9
  switch:: x0=66.91, x1=88.17, top=649.59, bottom=656.9
  AL: x0=89.72, x1=99.29, top=649.59, bottom=656.9
  for: x0=100.9, x1=109.32, top=649.59, bottom=656.9
  LA/LC: x0=111.06, x1=131.54, top=649.59, bottom=656.9
  300,000: x0=252.92, x1=276.96, top=649.59, bottom=656.9
  BK30S-T2: x0=298.95, x1=330.78, top=649.59, bottom=656.9
  4P: x0=332.68, x1=340.47, top=649.59, bottom=656.9
  385V: x0=429.05, x1=445.5, top=649.59, bottom=656.9
  60KA: x0=495.75, x1=513.59, top=649.59, bottom=656.9
  5,650,000: x0=525.12, x1=554.71, top=649.59, bottom=656.9
